title,url,source_type,source_name,published_date,category,sub_issue,gov_level,area_type,service_type,province,sentiment,sentiment_score,pain_points,demographics,has_abandonment_signal,has_bottleneck
El Nino Picu Lonjakan Kasus DBD di Sukabumi,https://www.detik.com/jabar/berita/d-8641910/el-nino-picu-lonjakan-kasus-dbd-di-sukabumi,news_site,detik.com,"Senin, 31 Agu 2026 23:00 WIB",kesehatan,pemeriksaan_gratis,daerah,umum,tidak_teridentifikasi,Bali,positif,0.333,,ibu_anak,0,0
"Data Desil Warga Tak Sesuai, Mensos Minta Mutakhirkan ke Kelurahan-Aplikasi",https://news.detik.com/berita/d-8642651/data-desil-warga-tak-sesuai-mensos-minta-mutakhirkan-ke-kelurahan-aplikasi,news_site,detik.com,"Senin, 31 Agu 2026 22:47 WIB",kesejahteraan,bansos_adaptif,pusat,umum,digital,DKI Jakarta,positif,0.2,Salah Sasaran Penerima Manfaat,,1,0
"Bupati Afni Gandeng Perusahaan Sawit-HTI Perbaiki 29,74 KM Jalan Rusak di Siak",https://www.detik.com/sumut/berita/d-8642592/bupati-afni-gandeng-perusahaan-sawit-hti-perbaiki-29-74-km-jalan-rusak-di-siak,news_site,detik.com,"Senin, 31 Agu 2026 22:20 WIB",infrastruktur,layanan_dasar_desa,daerah,umum,digital,Riau,negatif,-0.667,,,0,0
Jabar Hari Ini: Delapan Pelaku Pedofilia Ditangkap Polisi,https://www.detik.com/jabar/berita/d-8642074/jabar-hari-ini-delapan-pelaku-pedofilia-ditangkap-polisi,news_site,detik.com,"Senin, 31 Agu 2026 22:00 WIB",infrastruktur,layanan_dasar_desa,daerah,umum,digital,Jawa Barat,positif,1.0,,lansia; disabilitas; ibu_anak,0,0
"Beasiswa Santri 2026 Baznas: Syarat, Cara Daftar, dan Jadwal Lengkapnya",https://www.detik.com/sulsel/berita/d-8642399/beasiswa-santri-2026-baznas-syarat-cara-daftar-dan-jadwal-lengkapnya,news_site,detik.com,"Senin, 31 Agu 2026 20:00 WIB",pendidikan,sekolah_unggul,pusat,umum,umum,Bali,netral,0.0,Persyaratan Dokumen Berlebihan,,0,0
Wamendagri Wiyagus Dorong IMM Jadi Pedoman Perencanaan Pembangunan Daerah,https://news.detik.com/berita/d-8642464/wamendagri-wiyagus-dorong-imm-jadi-pedoman-perencanaan-pembangunan-daerah,news_site,detik.com,"Senin, 31 Agu 2026 19:53 WIB",kesejahteraan,revitalisasi_sarpras,pusat,3T,umum,DKI Jakarta,netral,0.0,,masyarakat_3t,0,0
Apa Kabar Proyek Apartemen Garapan Qatar di RI? Ini Jawabannya,https://www.detik.com/properti/berita/d-8642281/apa-kabar-proyek-apartemen-garapan-qatar-di-ri-ini-jawabannya,news_site,detik.com,"Senin, 31 Agu 2026 19:38 WIB",kesehatan,kelengkapan_data_rs,pusat,umum,umum,DKI Jakarta,positif,1.0,,,0,0
Wabup Lombok Barat Minta Kantor Desa Kebon yang Disegel Warga Dibuka,https://www.detik.com/bali/nusra/d-8642419/wabup-lombok-barat-minta-kantor-desa-kebon-yang-disegel-warga-dibuka,news_site,detik.com,"Senin, 31 Agu 2026 19:11 WIB",infrastruktur,layanan_dasar_desa,daerah,umum,umum,,positif,1.0,,,0,0
Ombudsman Minta UBT Evaluasi Dugaan Pungli Berkedok Study Tour S2,https://www.detik.com/kalimantan/berita/d-8642108/ombudsman-minta-ubt-evaluasi-dugaan-pungli-berkedok-study-tour-s2,news_site,detik.com,"Senin, 31 Agu 2026 19:00 WIB",infrastruktur,layanan_dasar_desa,daerah,umum,tidak_teridentifikasi,Kalimantan Utara,negatif,-0.6,,,0,0
BNPB Salurkan Bantuan untuk Penanganan Karhutla di Palembang,https://www.detik.com/sumbagsel/berita/d-8642197/bnpb-salurkan-bantuan-untuk-penanganan-karhutla-di-palembang,news_site,detik.com,"Senin, 31 Agu 2026 18:40 WIB",kesejahteraan,sentra_produksi,daerah,umum,tidak_teridentifikasi,Sumatera Selatan,positif,1.0,,,1,0
